Episode Name,Director,Writer(s),Number of Viewers
...and the Bag's in the River,Adam Bernstein,Vince Gilligan,1.08 million
4 Days Out,Michelle MacLaren,Sam Catlin,1.27 million[1]
A No-Rough-Stuff-Type Deal,Tim Hunter,Peter Gould,1.50 million
Abiquiú,Michelle MacLaren,Thomas Schnauz and John Shiban,1.32 million
ABQ,Adam Bernstein,Vince Gilligan,1.50 million
Better Call Saul,Terry McDonough,Peter Gould,1.04 million
Bit by a Dead Bee,Terry McDonough,Peter Gould,1.13 million
Blood Money,Bryan Cranston,Peter Gould,5.92 million
Bonus scenes,N/A,N/A,N/A
Box Cutter,Adam Bernstein,Vince Gilligan,2.58 million
Breakage,Johan Renck,Moira Walley-Beckett,1.21 million
Breaking Bad Episode Title Meanings,N/A,N/A,N/A
Breaking Bad Subtitles,N/A,N/A,N/A
Bug,Terry McDonough,Moira Walley-Beckett & Thomas Schnauz,1.89 million
Bullet Points,Colin Bucksey,Moira Walley-Beckett,1.83 million
Buried,Michelle MacLaren,Thomas Schnauz,4.77 million
Buyout,Colin Bucksey,Gennifer Hutchison,2.81 million
Caballo Sin Nombre,Adam Bernstein,Peter Gould,1.55 million
Cancer Man,Jim McKay,Vince Gilligan,1.09 million
Cat's in the Bag...,Adam Bernstein,Vince Gilligan,1.49 million
Confessions,Michael Slovis,Gennifer Hutchison,4.85 million
Cornered,Michael Slovis,Gennifer Hutchison,1.67 milion
Crawl Space,Scott Winant,Sam Catlin & George Mastras,1.55 million
Crazy Handful of Nothin',Bronwen Hughes,George Mastras,1.07 million
Dead Freight,George Mastras,George Mastras,2.48 million
Down,John Dahl,Sam Catlin,1.29 million
End Times,Vince Gilligan,Thomas Schnauz & Moira Walley-Beckett,1.73 million
Season 1 Episodes (Breaking Bad),N/A,N/A,N/A
Season 2 Episodes (Breaking Bad),N/A,N/A,N/A
Season 3 Episodes (Breaking Bad),N/A,N/A,N/A
Season 4 Episodes (Breaking Bad),N/A,N/A,N/A
Season 5A Episodes (Breaking Bad),N/A,N/A,N/A
Season 5B Episodes (Breaking Bad),N/A,N/A,N/A
Face Off,Vince Gilligan,Vince Gilligan,1.90 million
Felina,Vince Gilligan,Vince Gilligan,10.28 million
Fifty-One,Rian Johnson,Sam Catlin,2.29 million
Fly,Rian Johnson,Sam Catlin and Moira Walley-Beckett,1.20 million
Full Measure,Vince Gilligan,Vince Gilligan,1.56 million
Gliding Over All,Michelle MacLaren,Moira Walley-Beckett,2.78 million
Granite State,Peter Gould,Peter Gould,6.58 million
Gray Matter,Tricia Brock,Patty Lin,0.97 million
Green Light,Scott Winant,Sam Catlin,1.46 miilion
Grilled,Charles Haid,George Mastras,1.60 million
Half Measures,Adam Bernstein,Sam Catlin and Peter Gould,1.19 million
Hazard Pay,Adam Bernstein,Peter Gould,2.20 million
Hermanos,Johan Renck,Sam Catlin & George Mastras,1.98 million
I See You,Colin Bucksey,Gennifer Hutchison,1.78 million
I.F.T.,Michelle MacLaren,George Mastras,1.33 million
Kafkaesque,Michael Slovis,Peter Gould and George Mastras,1.61 million
Live Free or Die,Michael Slovis,Vince Gilligan,2.93 million
Madrigal,Michelle MacLaren,Vince Gilligan,2.29 million
Mandala,Adam Bernstein,George Mastras,1.29 mllion[1]
Más,Johan Renck,Moira Walley-Beckett,1.61 million
Negro y Azul,Félix Enríquez Alcalá,John Shiban,1.20 million[1]
No Más,Bryan Cranston,Vince Gilligan,1.95 million
One Minute,Michelle MacLaren,Thomas Schnauz,1.52 million
Open House,David Slade,Sam Catlin,1.71 million
Over,Phil Abraham,Moira Walley-Beckett,1.19 million[1]
Ozymandias,Rian Johnson,Moira Walley-Beckett,6.37 million
Peekaboo,Peter Medak,J. Roberts & Vince Gilligan,1.41 million
Phoenix,Colin Bucksey,John Shiban,1.19 million[1]
Pilot,Vince Gilligan,Vince Gilligan,1.41 million
Problem Dog,Peter Gould,Peter Gould,1.91 million
Rabid Dog,Sam Catlin,Sam Catlin,4.41 million
Salud,Michelle MacLaren,Gennifer HutchisonPeter Gould,1.80 million
Say My Name,Thomas Schnauz,Thomas Schnauz,2.98 million
Seven Thirty-Seven,Bryan Cranston,J. Roberts,1.66 million
Shotgun,Michelle MacLaren,Thomas Schnauz,1.75 million
Sunset,John Shiban,John Shiban,1.64 million
Thirty-Eight Snub,Michelle MacLaren,George Mastras,1.97 million
To'hajiilee,Michelle MacLaren,George Mastras,5.11 million
